Species_ID,NCBI RefSeq,Superkingdom
10678,NC_005856.1, Viruses 
10679,NC_001895.1, Viruses 
10683,NC_031039.1, Viruses 
10685,NC_011421.1, Viruses 
1069,NC_014664.1, Bacteria 
10690,NC_001697.1, Viruses 
1069220,NZ_AP022594.1, Bacteria 
1069378,NC_016568.1, Viruses 
1070130,NZ_LN999832.1, Bacteria 
10708,NC_005178.1, Viruses 
10710,NC_001416.1, Viruses 
10726,NC_005859.1, Viruses 
1073767,NC_019509.1, Viruses 
1073996,NZ_CP024845.1, Archaea 
10742,NC_002166.1, Viruses 
1074214,NC_075300.1, Viruses 
1074325,NC_015939.1, Viruses 
1074467,NZ_CP012559.1, Bacteria 
1075,NZ_CP020470.1, Bacteria 
10752,NC_008720.1, Viruses 
10756,NC_011048.1, Viruses 
1076,NZ_CP066699.1, Bacteria 
1076124,NZ_AP022870.1, Bacteria 
1076255,NC_015960.1, Viruses 
1076588,NZ_AP012273.1, Bacteria 
1076626,NZ_CP045889.1, Bacteria 
107709,NC_010571.1, Bacteria 
10778,NC_004165.1, Viruses 
1079,NZ_CP012946.1, Bacteria 
1081631,NZ_CP074435.1, Bacteria 
1082704,NZ_CP023009.1, Bacteria 
10837,NC_001478.1, Viruses 
1084,NC_017059.1, Bacteria 
10847,NC_001422.1, Viruses 
1084719,NC_023719.1, Viruses 
10855,NC_003438.1, Viruses 
1085624,NZ_CP012851.1, Bacteria 
10862,NC_001396.1, Viruses 
10869,NC_001332.1, Viruses 
1091052,NC_019925.1, Viruses 
109266,NZ_AP018174.1, Bacteria 
109270,NC_002201.1, Viruses 
109472,NZ_CP016605.1, Bacteria 
1096,NC_008639.1, Bacteria 
1097,NC_002932.3, Bacteria 
10991,NC_003773.1, Viruses 
1100,NC_007512.1, Bacteria 
1102,NC_011059.1, Bacteria 
11020,NC_001786.1, Viruses 
1105381,NC_023638.1, Viruses 
110539,NC_008726.1, Bacteria 
1108,NC_010175.1, Bacteria 
1108595,NZ_CP017707.1, Bacteria 
1109412,NZ_CP014137.1, Bacteria 
1109716,NC_016650.1, Viruses 
111015,NZ_CP014228.1, Bacteria 
1112,NZ_CP016033.1, Bacteria 
111501,NC_015945.1, Bacteria 
1115758,NZ_LN555523.1, Bacteria 
1118202,NZ_CP063145.1, Bacteria 
111831,NZ_CP053923.1, Bacteria 
111955,NC_003106.2, Archaea 
1123043,NZ_CP074694.1, Bacteria 
112437,NC_005136.1, Viruses 
1124597,NC_008576.1, Bacteria 
1124849,NC_016571.1, Viruses 
1125847,NZ_FO082820.1, Bacteria 
1125966,NZ_AP024601.1, Bacteria 
1126,NC_010296.1, Bacteria 
1131703,NC_015152.1, Bacteria 
1133546,NZ_CP045529.1, Bacteria 
1134405,NC_018178.1, Bacteria 
1134435,NZ_CP014646.1, Bacteria 
113608,NC_016520.1, Eukaryota 
113653,NZ_CP011267.1, Archaea 
1137095,NZ_AP018194.1, Bacteria 
1138822,NZ_CP018906.1, Bacteria 
1141134,NC_019417.1, Viruses 
114186,NC_018416.1, Bacteria 
1141883,NZ_CP019038.1, Bacteria 
1145276,NZ_CP006837.1, Bacteria 
1148,NC_000911.1, Bacteria 
1155739,NZ_CP017599.1, Bacteria 
11569,NC_006508.1, Viruses 
1157339,NC_043427.1, Viruses 
1159327,NZ_CP026923.1, Bacteria 
1159556,NC_057316.1, Eukaryota 
115987,NC_005135.1, Viruses 
1159906,NC_016992.1, Viruses 
115991,NC_007023.1, Viruses 
1160,NZ_LR882952.1, Bacteria 
116056,NC_003649.1, Viruses 
1160784,NZ_CP094197.1, Bacteria 
116090,NZ_CP048617.1, Bacteria 
1162966,NZ_AP027731.1, Bacteria 
1164,NC_014248.1, Bacteria 
1165,NC_019771.1, Bacteria 
1165090,NZ_CP117969.1, Bacteria 
1166950,NZ_CP020370.1, Bacteria 
1170699,NZ_CP058364.1, Bacteria 
117157,NZ_LT629732.1, Bacteria 
117187,NC_031675.1, Eukaryota 
117207,NC_008048.1, Bacteria 
11723,NC_001549.1, Viruses 
1173025,NC_019703.1, Bacteria 
1173026,NC_019745.1, Bacteria 
1173032,NC_019697.1, Bacteria 
11757,NC_001503.1, Viruses 
1176145,NC_008582.1, Viruses 
1176146,NC_006563.1, Viruses 
1176147,NC_006951.1, Viruses 
1176148,NC_006564.1, Viruses 
1176149,NC_008184.1, Viruses 
1177211,NZ_CP047396.1, Bacteria 
1177712,NC_016027.1, Bacteria 
1177757,NC_008032.1, Viruses 
1177758,NC_008297.1, Viruses 
1177762,NC_008298.1, Viruses 
1177763,NC_010739.1, Viruses 
1177764,NC_011280.1, Viruses 
1177765,NC_013117.1, Viruses 
1177766,NC_011530.1, Viruses 
1177767,NC_011765.1, Viruses 
1179673,NZ_CP042174.1, Bacteria 
118000,NC_013943.1, Bacteria 
118140,NC_003985.1, Viruses 
118163,NC_019689.1, Bacteria 
118323,NC_019693.1, Bacteria 
1183401,NZ_CM002258.1, Bacteria 
1184,NZ_AP014638.1, Bacteria 
1184387,NC_017934.1, Bacteria 
1185412,NZ_CP058561.1, Bacteria 
118562,NC_016640.1, Bacteria 
1188228,NZ_CP017675.1, Bacteria 
1188319,NZ_AP018738.1, Bacteria 
11885,NC_001403.1, Viruses 
1188794,NC_019933.2, Viruses 
119,NC_015174.1, Bacteria 
1190451,NC_019507.1, Viruses 
1193095,NZ_AP014680.1, Bacteria 
1193713,NZ_CP022572.1, Bacteria 
119484,NC_008554.1, Bacteria 
1195085,NC_021531.1, Viruses 
1196083,NZ_CP007446.1, Bacteria 
1196095,NZ_CP007445.1, Bacteria 
1197717,NZ_CP016757.1, Bacteria 
11983,NC_001959.2, Viruses 
119864,NC_015276.1, Bacteria 
120,NC_014148.1, Bacteria 
1200300,NC_017954.1, Archaea 
1202142,NC_018151.1, Viruses 
1204525,NC_018848.1, Viruses 
1204543,NC_019511.1, Viruses 
1206566,NC_018519.1, Viruses 
1208324,NZ_CP004393.1, Bacteria 
12092,NC_001489.1, Viruses 
1209493,NZ_CP021983.2, Bacteria 
120962,NC_009767.1, Bacteria 
1210884,NZ_LR593886.1, Bacteria 
1211644,NC_019411.1, Viruses 
121719,NZ_CP013068.1, Bacteria 
12173,NC_005138.1, Viruses 
12175,NC_001409.1, Viruses 
1217908,NC_020911.1, Bacteria 
12181,NC_001748.1, Viruses 
1218727,NC_018453.1, Viruses 
1218801,NZ_CP019288.1, Bacteria 
1219,NC_008817.1, Bacteria 
1221500,NZ_CP015378.1, Bacteria 
122368,NC_036775.1, Eukaryota 
12241,NC_001556.1, Viruses 
1225128,NZ_CP085081.1, Bacteria 
1225769,NZ_CP069161.1, Bacteria 
12288,NC_002690.1, Viruses 
1229,NC_007484.1, Bacteria 
1229164,NZ_CP102630.1, Bacteria 
12295,NC_003805.1, Viruses 
12303,NC_003543.1, Viruses 
1230341,NZ_CP011361.2, Bacteria 
1231,NC_007614.1, Bacteria 
12315,NC_003837.1, Viruses 
12319,NC_003464.1, Viruses 
12321,NC_001495.1, Viruses 
1232575,NZ_AP018795.1, Bacteria 
12327,NC_003469.1, Viruses 
1233177,NC_012123.1, Viruses 
12345,NC_002649.1, Viruses 
1235591,NZ_CP021112.1, Bacteria 
1235662,NC_038520.1, Viruses 
12360,NC_004615.1, Viruses 
1238,NZ_CP039032.1, Bacteria 
123824,NZ_CP015029.1, Bacteria 
1239574,NC_004579.1, Viruses 
12407,NC_005340.1, Viruses 
1241979,NZ_CP034159.1, Bacteria 
12431,NC_003376.1, Viruses 
1245909,NC_019413.1, Viruses 
12465,NC_002990.1, Viruses 
12475,NC_001653.2, Viruses 
1249552,NZ_CP013189.1, Bacteria 
1249553,NZ_CP022530.1, Bacteria 
125,NC_013720.1, Bacteria 
1250539,NZ_CP015093.1, Bacteria 
1255,NC_008525.1, Bacteria 
12558,NC_002568.2, Viruses 
1256869,NC_020803.1, Viruses 
12585,NC_003477.1, Viruses 
1259973,NZ_CP041247.1, Bacteria 
1260,NC_010376.1, Bacteria 
12639,NC_005950.1, Viruses 
1263979,NC_019566.1, Bacteria 
1264,NC_014833.1, Bacteria 
1267021,NZ_CP009056.1, Bacteria 
1267766,NZ_CP011452.2, Bacteria 
1267768,NZ_CP019124.1, Bacteria 
1270,NZ_CP082331.1, Bacteria 
1273541,NZ_CP013011.1, Archaea 
1273739,NC_020478.1, Viruses 
1274,NZ_CP008889.1, Bacteria 
127509,NC_005948.1, Viruses 
1276,NC_013169.1, Bacteria 
1278232,NZ_CP068564.1, Bacteria 
1279082,NC_023006.1, Viruses 
128,NC_014962.1, Bacteria 
1280,NC_007795.1, Bacteria 
1282737,NZ_CP034438.1, Bacteria 
1285589,NC_020928.1, Viruses 
1285598,NC_013462.1, Viruses 
1285600,NC_008030.1, Viruses 
128818,NC_018455.1, Viruses 
12885,NC_001553.1, Viruses 
1288970,NZ_FO538765.1, Bacteria 
12893,NC_001351.1, Viruses 
12896,NC_001410.1, Viruses 
12899,NC_003882.1, Viruses 
129141,NC_003877.1, Viruses 
1291540,NC_020913.1, Archaea 
1293412,NZ_CP038141.1, Bacteria 
129395,NC_002604.1, Viruses 
1294262,NZ_AP018930.1, Archaea 
1295382,NZ_AP019782.1, Bacteria 
1295392,NZ_CP005973.1, Bacteria 
1295609,NC_015682.1, Bacteria 
1296,NZ_CP022046.2, Bacteria 
1296669,NZ_CP029210.1, Bacteria 
129727,NC_005337.1, Viruses 
1297617,NZ_CP011307.1, Bacteria 
129875,NC_001460.1, Viruses 
129921,NC_021252.1, Bacteria 
129958,NC_007503.1, Bacteria 
129985,NZ_CP025025.1, Bacteria 
1302411,NZ_CP026513.1, Bacteria 
1302659,NZ_CP016540.2, Bacteria 
130327,NC_004037.2, Viruses 
1303590,NZ_CP031513.1, Bacteria 
130478,NC_002661.2, Viruses 
1306787,NZ_CP004387.1, Bacteria 
1307,NC_012926.1, Bacteria 
13076,NZ_CP126962.1, Bacteria 
1307761,NC_023035.1, Bacteria 
1307763,NZ_CP010904.1, Bacteria 
1307839,NZ_CP013118.1, Bacteria 
131082,NC_002766.1, Viruses 
1312874,NC_015668.1, Viruses 
131568,NC_009664.2, Bacteria 
1323375,NZ_CP016379.1, Bacteria 
1323948,NZ_OX336137.1, Bacteria 
1329402,NC_035460.1, Viruses 
1330066,NC_009891.1, Viruses 
1330068,NC_021178.1, Viruses 
1330070,NC_021201.1, Viruses 
1330524,NC_012986.1, Viruses 
1331910,NZ_CP018477.1, Bacteria 
1332188,NC_021219.1, Bacteria 
1333996,NZ_AP014946.1, Bacteria 
1334193,NZ_CP012871.1, Bacteria 
133453,NC_017079.1, Bacteria 
1335043,NZ_CP068983.1, Bacteria 
1335048,NZ_CP012661.1, Bacteria 
1335746,NC_021291.1, Bacteria 
1336796,NZ_LT629737.1, Bacteria 
1336806,NZ_CP011797.1, Bacteria 
133924,NC_023135.1, Bacteria 
133926,NC_014363.1, Bacteria 
1340830,NC_022061.1, Viruses 
1343920,NC_023295.1, Viruses 
134821,NC_010503.1, Bacteria 
1348774,NZ_CP011770.1, Bacteria 
1349409,NC_021858.1, Viruses 
13502,NC_052374.1, Eukaryota 
1353260,NZ_CP012850.1, Archaea 
1353976,NZ_AP017977.1, Bacteria 
135577,NC_006512.1, Bacteria 
1357545,NZ_CP021056.1, Bacteria 
1359,NC_022369.1, Bacteria 
136073,NZ_AP018316.1, Bacteria 
136084,NC_002519.1, Viruses 
136094,NC_013894.1, Bacteria 
1364945,NZ_CP104003.1, Archaea 
136609,NC_014136.1, Bacteria 
137475,NC_006941.1, Viruses 
13769,NC_013922.1, Archaea 
13773,NC_003364.1, Archaea 
1379040,NZ_CP101825.1, Archaea 
1379870,NZ_CP010429.1, Bacteria 
1379910,NZ_CP010777.1, Bacteria 
1380685,NZ_CP048104.1, Bacteria 
138072,NC_012751.1, Bacteria 
1381007,NC_017918.2, Viruses 
138118,NZ_CP075188.1, Bacteria 
1382,NC_013203.1, Bacteria 
138336,NC_016943.1, Bacteria 
1384459,NZ_AP014648.1, Bacteria 
1387353,NZ_CP019082.1, Bacteria 
138950,NC_002058.3, Viruses 
1391653,NZ_CP012332.1, Bacteria 
1391654,NZ_CP012333.1, Bacteria 
139208,NC_015588.1, Bacteria 
139438,NZ_CP035108.1, Bacteria 
1397,NZ_CP053989.1, Bacteria 
1397264,NZ_CP119422.1, Bacteria 
1397703,NZ_CP030118.1, Bacteria 
1398,NZ_CP009709.1, Bacteria 
14,NC_011297.1, Bacteria 
1400387,NZ_CP042913.1, Bacteria 
1400526,NC_022894.1, Viruses 
1402135,NZ_CP054599.1, Bacteria 
1404864,NC_017082.1, Bacteria 
1406512,NZ_LR698974.1, Archaea 
1407499,NZ_LN831302.1, Archaea 
1408204,NC_020419.1, Bacteria 
1410383,NZ_AP014521.1, Bacteria 
1410606,NZ_CP007026.1, Archaea 
1411902,NZ_CP021404.1, Bacteria 
1413,NC_014829.1, Bacteria 
141451,NZ_CP021425.1, Bacteria 
1415657,NZ_CP006873.1, Bacteria 
141904,NC_015209.1, Viruses 
142,NC_008710.1, Bacteria 
1423,NC_000964.3, Bacteria 
1424294,NZ_CP017269.1, Bacteria 
1424653,NZ_CP027432.2, Bacteria 
1425362,NC_025468.1, Viruses 
1426,NZ_CP016622.1, Bacteria 
1427364,NZ_CP006911.1, Bacteria 
142864,NC_019757.1, Bacteria 
1431460,NC_018668.1, Viruses 
1432792,NZ_AP017928.1, Bacteria 
143361,NC_016630.1, Bacteria 
1434191,NZ_CP018911.1, Bacteria 
1436133,NZ_CP103871.1, Bacteria 
1436290,NC_022576.1, Bacteria 
1437009,NZ_CP081869.1, Bacteria 
1437839,NC_023553.1, Viruses 
1441386,NZ_AP019551.1, Bacteria 
1443036,NZ_CP016615.1, Bacteria 
1445505,NZ_CP007142.1, Bacteria 
1446467,NZ_CP007145.1, Bacteria 
1447062,NZ_CP041690.1, Bacteria 
1449,NC_018704.1, Bacteria 
1450746,NC_023423.1, Viruses 
145263,NC_014408.1, Archaea 
1453352,NZ_CP010535.1, Bacteria 
1457165,NC_023440.1, Viruses 
1457365,NZ_CP027806.1, Bacteria 
1458425,NZ_AP014568.1, Bacteria 
1458461,NZ_HG966617.1, Bacteria 
1461582,NZ_CCSE01000001.1, Bacteria 
1462,NC_006510.1, Bacteria 
1465,NZ_CP017705.1, Bacteria 
1465639,NC_024329.1, Viruses 
1467,NZ_LS483476.1, Bacteria 
146786,NC_004113.1, Bacteria 
146826,NC_013158.1, Archaea 
146919,NZ_CP030356.1, Bacteria 
146939,NC_016616.1, Bacteria 
1470434,NZ_CP014544.1, Bacteria 
1471761,NZ_CP019699.1, Bacteria 
1472345,NZ_CP009238.1, Bacteria 
147268,NC_015581.1, Bacteria 
1472767,NZ_CP013862.1, Bacteria 
147322,NZ_FO818640.1, Bacteria 
1473598,NZ_CP063849.1, Bacteria 
1476,NZ_CP014616.1, Bacteria 
147709,NC_022606.1, Bacteria 
1478,NZ_CP017704.1, Bacteria 
1481186,NC_025462.1, Viruses 
1481452,NC_023987.1, Viruses 
1482,NZ_CP017962.1, Bacteria 
1482074,NZ_LT960614.1, Bacteria 
1484109,NZ_CP053708.1, Bacteria 
148603,NC_002656.1, Viruses 
1486034,NZ_CP019352.1, Bacteria 
1486262,NZ_CP010803.1, Bacteria 
148813,NC_014762.1, Bacteria 
148879,NC_002729.1, Viruses 
148880,NC_002797.1, Viruses 
1490,NZ_CP079737.1, Bacteria 
1492898,NZ_CP011390.1, Bacteria 
1493829,NC_025967.1, Viruses 
1496,NZ_CP076401.1, Bacteria 
149715,NC_016751.1, Bacteria 
1498,NZ_LR590481.1, Bacteria 
1500254,NZ_AP017312.1, Bacteria 
150123,NZ_CP019402.1, Bacteria 
1501392,NZ_AP023322.1, Bacteria 
150340,NC_013456.1, Bacteria 
1505,NZ_CP014150.1, Bacteria 
1505757,NZ_CP074352.1, Bacteria 
150829,NC_015577.1, Bacteria 
1508404,NZ_CP009416.1, Bacteria 
1509244,NZ_CP008743.1, Bacteria 
1510,NC_020134.1, Bacteria 
1510150,NZ_CP037953.1, Bacteria 
1510225,NZ_CP112972.1, Archaea 
1510841,NZ_CP020554.1, Bacteria 
1511,NC_014614.1, Bacteria 
1511776,NC_018400.1, Viruses 
1511781,NC_014412.1, Viruses 
1511783,NC_018226.1, Viruses 
1511803,NC_014411.1, Viruses 
1511805,NC_024070.1, Viruses 
1511891,NC_001829.1, Viruses 
1513,NC_004557.1, Bacteria 
1513188,NC_005341.1, Viruses 
1513202,NC_007218.1, Viruses 
1513224,NC_002190.2, Viruses 
1513248,NC_014143.1, Viruses 
1513249,NC_016013.1, Viruses 
1513250,NC_015325.1, Viruses 
1513251,NC_023496.1, Viruses 
1513252,NC_018076.1, Viruses 
1513253,NC_020501.1, Viruses 
1513254,NC_023178.1, Viruses 
1513255,NC_007612.1, Viruses 
1514105,NZ_CP013213.1, Bacteria 
151528,NC_003390.2, Viruses 
151895,NC_015177.1, Bacteria 
1521,NC_011898.1, Bacteria 
152177,NC_009608.1, Viruses 
1522,NZ_CP048838.1, Bacteria 
1525,NZ_CP012370.1, Bacteria 
1526571,NZ_CP013650.1, Bacteria 
1526572,NZ_CP042288.1, Bacteria 
1526658,NZ_CP017147.1, Bacteria 
1528099,NZ_CP009312.1, Bacteria 
1531429,NZ_CP009302.1, Bacteria 
1532552,NZ_CP063356.1, Bacteria 
153493,NZ_CP059563.1, Bacteria 
153496,NZ_CP014681.1, Bacteria 
1535208,NZ_AP027735.1, Bacteria 
1537215,NZ_CP060436.1, Bacteria 
1537400,NZ_CP039731.1, Bacteria 
154,NC_017583.1, Bacteria 
154046,NZ_CP040506.1, Bacteria 
154288,NZ_CP053187.1, Bacteria 
1543721,NZ_CP011412.1, Bacteria 
1547219,NC_032433.1, Viruses 
1547448,NZ_CP072384.1, Bacteria 
1547898,NZ_CP031151.1, Archaea 
1548547,NZ_CP016268.1, Bacteria 
1548548,NZ_CP030032.1, Bacteria 
1548602,NZ_CP080575.1, Bacteria 
154981,NZ_CP080772.1, Bacteria 
1549855,NZ_CP014525.1, Bacteria 
1550024,NZ_LR215981.1, Bacteria 
1550241,NZ_CP009961.1, Archaea 
1550728,NZ_CP020083.1, Bacteria 
1550733,NZ_CP080327.1, Bacteria 
155077,NZ_CP043306.1, Bacteria 
1552990,NZ_CP094974.1, Archaea 
1553431,NZ_AP018150.1, Bacteria 
1555112,NZ_AP014924.1, Bacteria 
1556,NC_018664.1, Bacteria 
155863,NC_015636.1, Archaea 
155892,NC_011916.1, Bacteria 
155978,NC_009925.1, Bacteria 
1561003,NZ_LN906597.1, Bacteria 
1561005,NZ_LR746496.1, Bacteria 
1565,NC_015565.1, Bacteria 
1565605,NZ_CP010554.1, Bacteria 
1569057,NC_040797.1, Viruses 
1570,NC_017668.1, Bacteria 
1575,NC_022438.1, Bacteria 
157592,NZ_LT837803.1, Bacteria 
157673,NC_006300.1, Bacteria 
157692,NZ_AP019822.1, Bacteria 
1577791,NZ_CP010070.1, Archaea 
1578165,NZ_CP010271.1, Bacteria 
1579316,NZ_CP014327.1, Bacteria 
1579979,NZ_CP012154.1, Bacteria 
158,NC_002967.9, Bacteria 
158080,NC_007963.1, Bacteria 
1581680,NZ_LN794158.1, Bacteria 
1582259,NZ_CP035130.1, Bacteria 
158327,NC_007645.1, Bacteria 
1585976,NZ_CP029149.1, Bacteria 
1586232,NZ_CP095397.1, Archaea 
1586233,NZ_CP084090.1, Archaea 
1586287,NZ_CP016793.1, Bacteria 
158822,NZ_CP023525.1, Bacteria 
158841,NZ_LS483470.1, Bacteria 
158849,NZ_CP093242.1, Bacteria 
158877,NZ_CP050811.1, Bacteria 
158899,NZ_CP013232.1, Bacteria 
1589,NZ_CP032757.1, Bacteria 
1591409,NZ_CP049037.1, Bacteria 
159346,NZ_CP004372.1, Bacteria 
1594731,NZ_LN774881.1, Bacteria 
1595998,NC_026252.1, Viruses 
1597,NC_022112.1, Bacteria 
159743,NC_016641.1, Bacteria 
1597781,NZ_CP106951.1, Bacteria 
160233,NC_009776.1, Archaea 
1603,NZ_CP018888.1, Bacteria 
1603555,NZ_CP011097.1, Archaea 
1603606,NZ_CP010802.1, Bacteria 
1604004,NZ_CP011564.1, Archaea 
1608628,NZ_LN829119.1, Bacteria 
1608957,NZ_CP031165.1, Bacteria 
1609966,NZ_CP010869.1, Bacteria 
1610493,NZ_CP019605.1, Bacteria 
161154,NZ_LT838272.1, Bacteria 
1612173,NZ_CP025611.1, Bacteria 
161493,NC_011891.1, Bacteria 
1618,NZ_CP045035.1, Bacteria 
1618207,NZ_CP011005.1, Bacteria 
1619308,NZ_CP020715.1, Bacteria 
1619313,NZ_CP073262.1, Bacteria 
1620215,NZ_AP014879.1, Bacteria 
1620816,NZ_CP124543.1, Bacteria 
1621989,NZ_CP013015.1, Bacteria 
1622118,NZ_CP013355.1, Bacteria 
1623,NC_015975.1, Bacteria 
1630135,NZ_CP012117.1, Bacteria 
1630141,NZ_AP014836.1, Bacteria 
1632864,NZ_CP011270.1, Bacteria 
1633151,NC_013648.1, Viruses 
163359,NZ_CP080624.1, Bacteria 
1634516,NZ_CP011344.1, Bacteria 
1635327,NZ_CP050253.1, Bacteria 
1639,NC_003210.1, Bacteria 
1639108,NZ_CP007044.2, Bacteria 
1642646,NZ_LT608328.1, Bacteria 
164451,NC_014537.1, Archaea 
164514,NZ_CP029808.1, Bacteria 
164546,NC_010528.1, Bacteria 
1646,NC_010168.1, Bacteria 
1646377,NZ_CP049603.1, Bacteria 
164759,NZ_CP016278.1, Bacteria 
1648404,NZ_CP011310.1, Bacteria 
165096,NC_015759.1, Bacteria 
165179,NZ_CP085932.1, Bacteria 
1653434,NZ_CP094681.1, Bacteria 
1653476,NZ_AP014945.1, Bacteria 
1653480,NZ_LN850107.1, Bacteria 
1658616,NZ_CP117811.1, Bacteria 
1658665,NZ_CP011514.1, Bacteria 
1658671,NZ_CP012070.1, Bacteria 
1659771,NC_022802.1, Viruses 
1661,NZ_CP007519.1, Bacteria 
166485,NZ_CP126462.1, Bacteria 
166486,NZ_LR027880.1, Bacteria 
166501,NC_013525.1, Bacteria 
166935,NC_007481.1, Bacteria 
1670455,NZ_AP018553.1, Archaea 
1670800,NZ_CP018171.1, Bacteria 
1670830,NZ_CP036250.1, Bacteria 
1670831,NZ_CP036402.1, Bacteria 
1673428,NZ_LT719092.1, Archaea 
1674922,NZ_CP011927.1, Bacteria 
1675686,NZ_AP014936.1, Bacteria 
167642,NC_014632.1, Bacteria 
1678128,NZ_CP011774.1, Bacteria 
1678143,NC_001434.1, Viruses 
1678144,NC_023425.1, Viruses 
1678145,NC_038504.1, Viruses 
1678146,NC_018382.1, Viruses 
1678147,NC_015521.1, Viruses 
1678906,NC_002064.1, Viruses 
1679096,NZ_CP028858.1, Archaea 
167964,NC_014960.1, Bacteria 
1679721,NZ_LN879430.1, Bacteria 
168169,NZ_AP010872.1, Bacteria 
1682490,NZ_AP019536.1, Bacteria 
168384,NZ_CP102268.1, Bacteria 
168471,NC_012559.1, Bacteria 
1685010,NZ_CP015199.1, Bacteria 
168695,NC_009380.1, Bacteria 
1690672,NC_027922.1, Viruses 
169176,NZ_CP034179.1, Bacteria 
169435,NZ_CP094682.1, Bacteria 
169683,NC_004629.1, Viruses 
1697053,NZ_CP012362.1, Bacteria 
1702221,NZ_CP011391.1, Bacteria 
1702325,NZ_CP012398.1, Bacteria 
1704307,NZ_CP012665.1, Bacteria 
1704499,NZ_CP022129.1, Bacteria 
1705394,NZ_CP010552.1, Bacteria 
1711,NC_014151.1, Bacteria 
1712261,NZ_CP051630.1, Bacteria 
1712410,NZ_CP045798.1, Bacteria 
171437,NC_017956.1, Bacteria 
1714619,NC_030692.1, Viruses 
1714860,NZ_CP031963.1, Bacteria 
1715691,NZ_CP060010.1, Bacteria 
171695,NC_015681.1, Bacteria 
1717717,NZ_AP018042.1, Bacteria 
172,NC_010602.1, Bacteria 
1720083,NZ_CP034726.1, Bacteria 
1731,NZ_CP007452.1, Bacteria 
1734049,NZ_CP058648.1, Bacteria 
173480,NC_012489.1, Bacteria 
1735038,NZ_CP022579.1, Bacteria 
1736674,NZ_CP012898.1, Bacteria 
1737490,NZ_CP020038.1, Bacteria 
1740262,NZ_CP041660.1, Bacteria 
174142,NC_005132.1, Viruses 
1745854,NZ_CP048630.1, Bacteria 
174633,NZ_CP049055.1, Bacteria 
1748,NZ_CP013126.1, Bacteria 
1750598,NZ_CP085041.1, Bacteria 
1750719,NZ_CP013217.1, Bacteria 
1751046,NZ_AP022345.1, Bacteria 
1752063,NZ_AP017305.1, Bacteria 
1755588,NC_023861.1, Viruses 
1755811,NZ_CP022355.1, Bacteria 
1758689,NZ_CP014989.1, Bacteria 
1759059,NZ_CP013244.1, Bacteria 
1760988,NZ_AP019783.1, Bacteria 
1761012,NZ_CP017634.1, Bacteria 
176106,NC_003214.2, Viruses 
1761453,NZ_CP032050.1, Bacteria 
1763535,NZ_CP017476.1, Bacteria 
1763536,NZ_CP017689.1, Bacteria 
1763828,NZ_CP039704.1, Bacteria 
176652,NC_003038.1, Viruses 
1768242,NZ_CP013692.1, Bacteria 
1771309,NZ_CP023559.1, Bacteria 
1773,NC_000962.3, Bacteria 
1773489,NZ_CP119676.1, Bacteria 
1774273,NZ_CP017477.1, Bacteria 
1776384,NZ_AP025567.1, Bacteria 
